Date,Close,pct_change
2004-01-01,133.55,
2004-01-03,139.24,4.26
2004-01-04,138.2,-0.75
2004-01-06,137.97,-0.17
2004-01-07,140.55,1.87
2004-01-09,138.85,-1.21
2004-01-10,139.45,0.43
2004-01-11,137.9,-1.11
2004-01-12,138.32,0.3
2004-01-13,133.36,-3.59
2004-01-14,135.06,1.27
2004-01-15,135.65,0.44
2004-01-16,137.62,1.45
2004-01-19,138.07,0.33
2004-01-20,136.92,-0.83
2004-01-21,137.08,0.12
2004-01-22,136.42,-0.48
2004-01-23,136.13,-0.21
2004-01-26,137.56,1.05
2004-01-27,136.68,-0.64
2004-01-28,136.23,-0.33
2004-01-29,137.29,0.78
2004-01-30,136.25,-0.76
2004-02-01,134.02,-1.64
2004-02-02,136.71,2.01
2004-02-03,140.47,2.75
2004-02-04,141.18,0.51
2004-02-06,137.95,-2.29
2004-02-07,138.93,0.71
2004-02-08,140.23,0.94
2004-02-09,139.6,-0.45
2004-02-11,138.75,-0.61
2004-02-12,138.79,0.03
2004-02-13,135.29,-2.52
2004-02-16,135.4,0.08
2004-02-17,136.47,0.79
2004-02-18,136.08,-0.29
2004-02-19,137.42,0.98
2004-02-20,137.43,0.01
2004-02-23,137.22,-0.15
2004-02-24,135.61,-1.17
2004-02-25,136.95,0.99
2004-02-26,137.75,0.58
2004-02-27,137.74,-0.01
2004-03-02,136.1,-1.19
2004-03-03,141.55,4.0
2004-03-05,139.7,-1.31
2004-03-06,137.59,-1.51
2004-03-08,140.04,1.78
2004-03-09,140.12,0.06
2004-03-11,138.98,-0.81
2004-03-12,138.36,-0.45
2004-03-15,135.49,-2.07
2004-03-16,135.34,-0.11
2004-03-17,138.02,1.98
2004-03-18,135.6,-1.75
2004-03-19,135.31,-0.21
2004-03-22,133.04,-1.68
2004-03-23,133.52,0.36
2004-03-24,133.77,0.19
2004-03-25,136.24,1.85
2004-03-26,136.89,0.48
2004-03-29,138.46,1.15
2004-03-30,138.69,0.17
2004-03-31,137.79,-0.65
2004-04-02,135.56,-1.62
2004-04-03,141.79,4.6
2004-04-05,139.35,-1.72
2004-04-06,138.29,-0.76
2004-04-08,139.36,0.77
2004-04-10,141.29,1.38
2004-04-11,139.32,-1.39
2004-04-13,142.62,2.37
2004-04-14,141.23,-0.97
2004-04-15,140.98,-0.18
2004-04-16,140.9,-0.06
2004-04-19,141.13,0.16
2004-04-20,141.4,0.19
2004-04-21,141.36,-0.03
2004-04-22,142.75,0.98
2004-04-23,143.46,0.5
2004-04-26,143.03,-0.3
2004-04-27,142.62,-0.29
2004-04-28,140.89,-1.21
2004-04-29,139.55,-0.95
2004-04-30,138.27,-0.92
2004-05-01,134.81,-2.5
2004-05-02,134.64,-0.13
2004-05-03,140.33,4.23
2004-05-04,143.42,2.2
2004-05-05,139.68,-2.61
2004-05-07,138.78,-0.64
2004-05-08,138.6,-0.13
2004-05-10,141.11,1.81
